Timestamp,Distance
2024-08-26 04:27:41,1003
2024-08-26 04:27:42,21
2024-08-26 04:27:42,1003
2024-08-26 04:27:42,7
2024-08-26 04:27:43,17
2024-08-26 04:27:43,10
2024-08-26 04:27:43,7
2024-08-26 04:27:43,10
2024-08-26 04:27:44,8
2024-08-26 04:27:44,8
2024-08-26 04:27:44,9
2024-08-26 04:27:45,8
2024-08-26 04:27:45,7
2024-08-26 04:27:45,8
2024-08-26 04:27:46,7
2024-08-26 04:27:46,7
2024-08-26 04:27:46,7
2024-08-26 04:27:46,8
2024-08-26 04:27:47,9
2024-08-26 04:27:47,7
2024-08-26 04:27:47,7
2024-08-26 04:27:48,7
2024-08-26 04:27:48,7
2024-08-26 04:27:48,7
2024-08-26 04:27:49,8
2024-08-26 04:27:49,8
2024-08-26 04:27:49,8
2024-08-26 04:27:49,9
2024-08-26 04:27:50,9
2024-08-26 04:27:50,10
2024-08-26 04:27:50,10
2024-08-26 04:27:51,9
2024-08-26 04:27:51,9
2024-08-26 04:27:51,10
2024-08-26 04:27:52,9
2024-08-26 04:27:52,10
2024-08-26 04:27:52,10
2024-08-26 04:27:52,8
2024-08-26 04:27:53,10
2024-08-26 04:27:53,8
2024-08-26 04:27:53,8
2024-08-26 04:27:54,7
2024-08-26 04:27:54,8
2024-08-26 04:27:54,9
2024-08-26 04:27:55,8
2024-08-26 04:27:55,8
2024-08-26 04:27:55,8
2024-08-26 04:27:55,9
2024-08-26 04:27:56,9
2024-08-26 04:27:56,8
2024-08-26 04:27:56,8
2024-08-26 04:27:57,8
2024-08-26 04:27:57,8
2024-08-26 04:27:57,8
2024-08-26 04:27:58,10
2024-08-26 04:27:58,12
2024-08-26 04:27:58,9
2024-08-26 04:27:58,9
2024-08-26 04:27:59,10
2024-08-26 04:27:59,9
2024-08-26 04:27:59,9
2024-08-26 04:28:00,10
2024-08-26 04:28:00,10
2024-08-26 04:28:00,10
2024-08-26 04:28:01,10
2024-08-26 04:28:01,10
2024-08-26 04:28:01,9
2024-08-26 04:28:02,9
2024-08-26 04:28:02,9
2024-08-26 04:28:02,10
2024-08-26 04:28:02,10
2024-08-26 04:28:03,10
2024-08-26 04:28:03,10
2024-08-26 04:28:03,10
2024-08-26 04:28:04,10
2024-08-26 04:28:04,10
2024-08-26 04:28:04,10
2024-08-26 04:28:05,10
2024-08-26 04:28:05,9
2024-08-26 04:28:05,10
2024-08-26 04:28:05,10
2024-08-26 04:28:06,45
2024-08-26 04:28:06,10
2024-08-26 04:28:06,11
2024-08-26 04:28:07,37
2024-08-26 04:28:07,10
2024-08-26 04:28:07,11
2024-08-26 04:28:08,11
2024-08-26 04:28:08,11
2024-08-26 04:28:08,11
2024-08-26 04:28:08,11
2024-08-26 04:28:09,11
2024-08-26 04:28:09,11
2024-08-26 04:28:09,10
2024-08-26 04:28:10,10
2024-08-26 04:28:10,9
2024-08-26 04:28:10,10
2024-08-26 04:28:11,9
2024-08-26 04:28:11,9
2024-08-26 04:28:11,12
2024-08-26 04:28:11,9
2024-08-26 04:28:12,9
2024-08-26 04:28:12,9
2024-08-26 04:28:12,9
2024-08-26 04:28:13,9
2024-08-26 04:28:13,9
2024-08-26 04:28:13,9
2024-08-26 04:28:14,9
2024-08-26 04:28:14,9
2024-08-26 04:28:14,9
2024-08-26 04:28:14,9
2024-08-26 04:28:15,11
2024-08-26 04:28:15,10
2024-08-26 04:28:15,9
2024-08-26 04:28:16,9
2024-08-26 04:28:16,9
2024-08-26 04:28:16,10
2024-08-26 04:28:17,8
2024-08-26 04:28:17,10
2024-08-26 04:28:17,8
2024-08-26 04:28:17,7
2024-08-26 04:28:18,10
2024-08-26 04:28:18,9
2024-08-26 04:28:18,8
2024-08-26 04:28:19,7
2024-08-26 04:28:19,10
2024-08-26 04:28:19,10
2024-08-26 04:28:20,10
2024-08-26 04:28:20,10
2024-08-26 04:28:20,7
2024-08-26 04:28:21,7
2024-08-26 04:28:21,10
2024-08-26 04:28:21,10
2024-08-26 04:28:21,6
2024-08-26 04:28:22,7
2024-08-26 04:28:22,1003
2024-08-26 04:28:22,15
2024-08-26 04:28:23,1003
2024-08-26 04:28:23,1003
2024-08-26 04:28:23,1003
2024-08-26 04:28:24,102
2024-08-26 04:28:24,1003
2024-08-26 04:28:24,1003
2024-08-26 04:28:25,93
2024-08-26 04:28:25,99
