Timestamp,Sensor 1 Z_acc,Sensor 1 Roll,Sensor 1 Pitch,Sensor 2 Z_acc,Sensor 2 Roll,Sensor 2 Pitch
16:53:08,10.19,-5.28,-0.19,10.21,-6.7,2.0
16:53:09,9.91,-1.56,1.74,10.0,-7.38,1.12
16:53:09,10.2,-4.15,-0.63,9.98,-5.25,2.11
16:53:10,9.23,-4.32,-1.24,9.12,-6.29,2.3
16:53:10,10.64,6.48,-7.79,9.96,-13.09,-9.18
16:53:11,8.72,-0.36,3.05,7.49,-7.24,7.18
16:53:11,11.76,7.09,-7.65,10.81,-8.08,-6.59
16:53:12,8.36,1.56,4.81,8.49,-4.02,-0.69
16:53:12,11.95,7.38,-3.3,9.69,-6.32,2.18
16:53:13,10.43,0.34,-0.64,10.98,-9.13,-1.62
16:53:13,6.96,-8.89,9.02,7.02,-12.7,10.11
16:53:14,13.45,0.23,1.18,12.85,-6.94,-2.38
16:53:14,11.71,1.97,0.28,11.32,-11.48,-0.62
16:53:15,6.76,-2.25,11.62,6.52,-8.71,9.26
16:53:15,11.96,0.26,0.09,12.0,-6.17,-1.69
